,Dates,Price
245,2013-02-18,3.496
246,2013-02-19,3.62
247,2013-02-20,3.581
248,2013-02-21,3.513
249,2013-02-22,3.445
250,2013-02-25,3.466
251,2013-02-26,3.498
252,2013-02-27,3.519
253,2013-02-28,3.559
254,2013-03-01,3.574
255,2013-03-04,3.617
256,2013-03-05,3.566
257,2013-03-06,3.605
258,2013-03-07,3.66
259,2013-03-08,3.617
260,2013-03-11,3.556
261,2013-03-12,3.674
262,2013-03-13,3.702
263,2013-03-14,3.768
264,2013-03-15,3.789
265,2013-03-18,3.818
266,2013-03-19,3.895
267,2013-03-20,3.895
268,2013-03-21,3.954
269,2013-03-22,3.988
270,2013-03-25,3.976
271,2013-03-26,3.96
272,2013-03-27,4.132
273,2013-03-28,4.114
274,2013-03-29,4.232
275,2013-04-01,4.237
276,2013-04-02,4.337
277,2013-04-03,4.409
278,2013-04-04,4.351
279,2013-04-05,4.279
280,2013-04-08,4.287
281,2013-04-09,4.251
282,2013-04-10,4.46
283,2013-04-11,4.418
284,2013-04-12,4.463
285,2013-04-15,4.416
286,2013-04-16,4.416
287,2013-04-17,4.433
288,2013-04-18,4.407
289,2013-04-19,4.427
290,2013-04-22,4.23
291,2013-04-23,4.23
292,2013-04-24,4.321
293,2013-04-25,4.304
294,2013-04-26,4.306
295,2013-04-29,4.299
296,2013-04-30,4.216
297,2013-05-01,4.005
298,2013-05-02,4.053
299,2013-05-03,4.274
300,2013-05-06,4.369
301,2013-05-07,4.325
302,2013-05-08,4.382
303,2013-05-09,4.326
304,2013-05-10,4.326
305,2013-05-13,4.431
306,2013-05-14,4.689
307,2013-05-15,4.73
308,2013-05-16,5.182
309,2013-05-17,4.847
310,2013-05-20,5.033
311,2013-05-21,5.557
312,2013-05-22,5.011
313,2013-05-23,4.943
314,2013-05-24,4.905
315,2013-05-27,5.375
316,2013-05-28,5.03
317,2013-05-29,4.931
318,2013-05-30,4.775
319,2013-05-31,4.579
320,2013-06-03,4.824
321,2013-06-04,4.822
322,2013-06-05,5.223
323,2013-06-06,5.214
324,2013-06-07,5.214
325,2013-06-10,5.551
326,2013-06-11,6.149
327,2013-06-12,6.064
328,2013-06-13,6.135
329,2013-06-14,5.445
330,2013-06-17,5.096
331,2013-06-18,4.855
332,2013-06-19,4.511
333,2013-06-20,4.609
334,2013-06-21,4.492
335,2013-06-24,4.667
336,2013-06-25,4.523
337,2013-06-26,4.662
338,2013-06-27,4.618
339,2013-06-28,4.651
340,2013-07-01,4.605
341,2013-07-02,4.49
342,2013-07-03,4.383
343,2013-07-04,4.425
344,2013-07-05,4.536
345,2013-07-08,4.456
346,2013-07-09,4.484
347,2013-07-10,4.369
348,2013-07-11,4.313
349,2013-07-12,4.276
350,2013-07-15,4.411
351,2013-07-16,4.402
352,2013-07-17,4.584
353,2013-07-18,4.485
354,2013-07-19,4.371
355,2013-07-22,4.276
356,2013-07-23,4.364
357,2013-07-24,4.47
358,2013-07-25,4.439
359,2013-07-26,4.476
360,2013-07-29,4.534
361,2013-07-30,4.586
362,2013-07-31,4.655
363,2013-08-01,4.62
364,2013-08-02,4.56
365,2013-08-05,4.567
366,2013-08-06,4.53
367,2013-08-07,4.741
